"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000015570",2108.48011795446,-2.55475044005031,0.776155027313401,-3.29154659848481,0.000996381080839041,0.0308346338109333
"ENSPFOG00000016407",4615.92542694207,-0.371098497881448,0.108829702484837,-3.40990087640047,0.000649864940891819,0.0244234336971215
"ENSPFOG00000017250",268.065194452216,-2.09798526156585,0.589151501980721,-3.56102845280449,0.000369405046655381,0.0178408651151936
"ENSPFOG00000018176",77.7533115045312,-3.7462264978046,0.789328859822616,-4.74609087351308,2.07385568600035e-06,0.00112428901377294
"ENSPFOG00000018182",214.544231645992,-2.71989181872609,0.617068854598316,-4.40776065500279,1.04444869862353e-05,0.00290724217057102
"ENSPFOG00000018559",8436.28039554091,-0.350633565519495,0.0715547568303743,-4.90021322203215,9.57327015997907e-07,0.000768875420070912
"ENSPFOG00000018682",8123.63847760323,-1.42410094591889,0.446822774563249,-3.18717179828377,0.00143671409404493,0.0365681107963917
"ENSPFOG00000018697",3399.75924804401,-1.0910187341628,0.245744964010937,-4.43963821823933,9.01102275267795e-06,0.0027459602165313
"ENSPFOG00000018719",12932.3904834753,0.646646950282101,0.201339238682079,3.21172839688332,0.00131939047142923,0.0353222004604234
"ENSPFOG00000018745",10164.4010014402,-0.412937644609608,0.132281438000995,-3.12165977970773,0.0017983463168003,0.0419747786962152
"ENSPFOG00000018820",6808.47529811564,-0.698684422588602,0.197018571008404,-3.54628712924122,0.000390700254023926,0.0185796820362036
"ENSPFOG00000008174",274.881180695045,-3.68733211804328,0.856514415411968,-4.30504385179523,1.66952661247949e-05,0.00355129992574549
"ENSPFOG00000010412",889.633731674231,-0.758932642886897,0.227754570052965,-3.33223892153034,0.000861502607369514,0.0284741613114291
"ENSPFOG00000011099",579.659945937855,-0.631631261344429,0.197904764063879,-3.19159199795995,0.00141491043464861,0.0363650600261803
"ENSPFOG00000015729",5554.62918172442,0.232742444059332,0.066135787220631,3.51916040982315,0.000432914867868488,0.0195986616069481
"ENSPFOG00000015658",6447.57211854378,0.313808631803909,0.0910391670997012,3.446962904002,0.0005669264203459,0.0228934812387353
"ENSPFOG00000015707",5630.98260901057,0.251038039018318,0.0731951088233987,3.42971057839411,0.000604225375488651,0.0236083374188674
"ENSPFOG00000016441",813.755143404317,-0.675738831884985,0.195985298970793,-3.44790571248759,0.000564951218552327,0.0228851952463329
"ENSPFOG00000016709",1812.45579270937,-0.574205895250258,0.188757987555341,-3.04202170560814,0.0023499494840742,0.0484397857054648
"ENSPFOG00000017012",632.427508571265,0.392627178923346,0.112898179945001,3.47771043886284,0.000505715910150145,0.0216728251217508
"ENSPFOG00000017462",153.679987921469,-2.60954118284122,0.623383158780946,-4.1860950942985,2.83794489934056e-05,0.00491007550285326
"ENSPFOG00000017825",206.573838951819,0.48110014919138,0.152668558278798,3.15127197515556,0.00162561039480342,0.0394752087472701
"ENSPFOG00000017898",1888.05619391413,-1.53631004287301,0.476596309694037,-3.22350385771825,0.00126632592828954,0.0345504079977448
"ENSPFOG00000018201",664.596095565294,0.54151084524281,0.167623367293206,3.23052122139749,0.0012356473118454,0.0340038222809234
"ENSPFOG00000018391",10752.2098002788,0.141127512263328,0.0448900712883844,3.14384691787838,0.00166742641612251,0.0399979445062131
"ENSPFOG00000018732",2220.59004866145,0.537878583744075,0.156588416328382,3.43498322772541,0.000592590504146872,0.0234410216260199
"ENSPFOG00000019375",124.507423195307,-2.87026995748418,0.737633845443013,-3.89118527466744,9.97557222067723e-05,0.00945543543620835
"ENSPFOG00000011378",3540.87619832146,0.281557702988485,0.0765141434961416,3.6798125173117,0.000233405490018999,0.0143421468209401
"ENSPFOG00000012998",1979.02042026848,-0.40191206831642,0.122921204520623,-3.26967238796453,0.00107672107542724,0.0318536105329327
"ENSPFOG00000015319",19.9633589004202,-4.05822218073771,1.2002441492045,-3.38116389355235,0.000721794766794986,0.0259141051621677
"ENSPFOG00000016755",5889.46878945301,0.287077922037337,0.0766191297807637,3.74681783594744,0.000179092043770507,0.0125518759915666
"ENSPFOG00000017883",1079.87086691574,0.45752440268683,0.149490011419319,3.06056838408739,0.00220917305538227,0.0467989663458553
"ENSPFOG00000018740",830.779713450421,-0.42153069360061,0.103972974195596,-4.05423329342891,5.02990002761658e-05,0.00703699239347519
"ENSPFOG00000023091",16.1558004937222,-3.29167269244851,1.05929480317685,-3.10741890036344,0.0018872876032213,0.0428542740061296
"ENSPFOG00000019086",4685.44371430245,-0.540849550175468,0.168008326174447,-3.21918301604822,0.00128556406634492,0.034759921170436
"ENSPFOG00000002114",1065.54597901355,0.784248707170877,0.214421761402858,3.65750519928535,0.000254682094983486,0.0148862027755172
"ENSPFOG00000006918",1501.3913973222,-0.791379595514385,0.214561689494256,-3.68835460505437,0.000225708943290787,0.0141051828105496
"ENSPFOG00000008405",3736.35854425525,0.346927620523106,0.104404665875027,3.32291299067399,0.000890826960650697,0.0289706019347417
"ENSPFOG00000013830",6741.43144115795,-0.637871215519834,0.188275912075432,-3.38795976866266,0.000704145919397629,0.0254103114567741
"ENSPFOG00000016320",4018.94011726483,-0.33526075869536,0.107781666476901,-3.11055460222644,0.00186736367972241,0.0425824778194273
"ENSPFOG00000017139",2356.66063364873,-0.592485470048261,0.17256035842361,-3.43349698308923,0.00059584883458633,0.0234926945054629
"ENSPFOG00000019652",1111.23108632408,0.397708383590876,0.0880682391125816,4.51591161125031,6.30449586832379e-06,0.00235712056732071
"ENSPFOG00000019665",1576.46385976845,-0.750489000488646,0.234947224644277,-3.19428757511363,0.00140176404974509,0.0363603509793328
"ENSPFOG00000021924",144.619794768145,-3.10160491185246,0.748624089983697,-4.14307387826646,3.4268149231812e-05,0.00554552105768598
"ENSPFOG00000024771",398.076487419133,-1.49266626479339,0.409789452147388,-3.64251997451738,0.000269982020758403,0.0151966518631096
"ENSPFOG00000019696",1785.79694804844,-1.04669459793949,0.287393842302539,-3.64202165764442,0.000270505308700037,0.0151966518631096
"ENSPFOG00000019701",644.351459603399,-0.485151866757707,0.13300668724633,-3.64757499643006,0.000264727054363382,0.0151417227778193
"ENSPFOG00000019728",97923.7766092709,0.506570276580589,0.161529255608798,3.13608995888294,0.00171216675882602,0.0405774165739259
"ENSPFOG00000019732",1788.04522879824,0.324718727236487,0.107360020428422,3.02457773331908,0.00248980480521712,0.0499460776686343
"ENSPFOG00000019752",4816.0789840593,-0.547531748093356,0.162553744814093,-3.36831211559935,0.000756299250739531,0.026537781961629
"ENSPFOG00000019768",3380.45792907381,-0.30834961741645,0.0725420045354654,-4.25063546825067,2.13164860196644e-05,0.00411626531312656
"ENSPFOG00000019797",2279.0554524948,-0.708087009385622,0.180120366475793,-3.93118792305358,8.45271668590366e-05,0.00898515496734416
"ENSPFOG00000019806",497.448654419932,-1.03362083799313,0.316207233640153,-3.26880832577473,0.00108001436665654,0.0319075089113721
"ENSPFOG00000019815",8108.86524465024,-0.398981628384503,0.0694156524646057,-5.74771847873849,9.04556800165879e-09,4.90382855289927e-05
"ENSPFOG00000019817",3599.13897375378,-0.852481470975707,0.237755103140163,-3.58554436778228,0.000336375806751984,0.0171025631204451
"ENSPFOG00000019833",1659.11685563822,0.621290578471822,0.186552474657207,3.33037972084505,0.000867276238185821,0.0284952806440296
"ENSPFOG00000019844",1561.45892879449,0.33888742271908,0.0997952608525148,3.39582681405998,0.000684216369858181,0.0251444541699469
"ENSPFOG00000019854",392.236520734465,-1.3556662875722,0.369728375738546,-3.6666547025616,0.000245744272199451,0.0147765584077238
"ENSPFOG00000009738",620.400994457649,-0.488017897074623,0.152818646613264,-3.19344469991051,0.00140586261664331,0.0363650600261803
"ENSPFOG00000011711",1414.0020758839,0.740847621287919,0.179984276280897,4.11617968300573,3.85204044509114e-05,0.00596333916773283
"ENSPFOG00000013244",8.01497733735184,2.97621724225685,0.821756332346171,3.62177585387087,0.000292587586586551,0.0158014480541368
"ENSPFOG00000013545",205.56138951476,-1.63315506430122,0.417175493046656,-3.9147914763022,9.04823721100936e-05,0.00920223754185182
"ENSPFOG00000014078",14839.329174021,0.354380127899849,0.10344074104295,3.42592410231,0.000612711566727168,0.0237261612937119
"ENSPFOG00000015919",336.037608773505,0.582192483963906,0.182520448127932,3.18973840977991,0.00142401627802155,0.0364578429620983
"ENSPFOG00000024577",170.642203456352,0.487143417253024,0.151125898479938,3.22342776554405,0.00126666240987812,0.0345504079977448
"ENSPFOG00000017206",13565.1393027668,-0.728343956890772,0.182354268141769,-3.99411521492072,6.4936283500061e-05,0.00766692512747779
"ENSPFOG00000017577",884.960217112126,-0.652195965399044,0.20753257792062,-3.14261968859898,0.00167443240750205,0.0401216207256155
"ENSPFOG00000017739",61.2985248833844,-1.29045320980243,0.297954617274926,-4.3310394771017,1.48407068772903e-05,0.00335229925660459
"ENSPFOG00000018261",4934.34760332404,-0.579934380882248,0.164852641738536,-3.51789558703009,0.00043498347826304,0.0196394212649917
"ENSPFOG00000018302",1853.15421090406,-0.716230028839135,0.185751546737119,-3.85584960890132,0.000115328376924057,0.0104487439517696
"ENSPFOG00000001675",284.155190962317,-1.39362383632008,0.402442944026228,-3.46291035041542,0.000534366405995127,0.0226279294776765
"ENSPFOG00000024528",347.911642445954,-0.377778383130803,0.12313580375058,-3.06798162373649,0.00215509870107792,0.0460426752048026
"ENSPFOG00000015993",6897.24218874143,-0.773991336725992,0.197965678238247,-3.90972487561461,9.24013013193986e-05,0.00920223754185182
"ENSPFOG00000010762",3729.57711856474,1.00206193270592,0.228879281766064,4.37812424512116,1.19705106380671e-05,0.00301784680296882
"ENSPFOG00000014323",5847.20319282524,0.332504359071725,0.103609901281893,3.20919482557054,0.0013310726494041,0.0354598407891007
"ENSPFOG00000006418",827.78400155372,0.307892645973032,0.079033186611521,3.89573872918024,9.78998789905833e-05,0.00945543543620835
"ENSPFOG00000006434",1306.27747306126,0.266650392315703,0.0705172104723769,3.78135196400254,0.000155978964788256,0.0118680836892398
"ENSPFOG00000011773",1281.66554346844,2.47945744739682,0.219888536158205,11.2759741399748,1.72459069090517e-29,3.73977491322787e-25
"ENSPFOG00000016191",580.078086727823,-0.739278952933948,0.210806887167033,-3.5069013297852,0.000453357221091555,0.0200225078194916
"ENSPFOG00000022866",1370.04492850421,0.310356986442572,0.0741727690587494,4.18424430395405,2.86116286881946e-05,0.00491007550285326
"ENSPFOG00000023305",772.064351031134,-1.20725190214248,0.366830546775831,-3.29103427387203,0.000998197506814625,0.0308346338109333
"ENSPFOG00000014326",13484.2008463432,-0.630854063041242,0.102982542838554,-6.1258349779752,9.02092657140646e-10,6.52062642336497e-06
"ENSPFOG00000015117",894.913010421306,-0.752379056737489,0.20232748701267,-3.71862008393537,0.000200314060904594,0.0131630618506549
"ENSPFOG00000017873",379.748874982264,0.623225150268894,0.168086749285937,3.70775895730311,0.000209101546534258,0.0133757139722578
"ENSPFOG00000018181",26644.5000674099,-0.541129043857486,0.176278306731537,-3.06974269205796,0.00214243261330631,0.0459986645738092
"ENSPFOG00000018348",690.887242596654,0.693337596933538,0.154324578980638,4.49272307440105,7.03181984015092e-06,0.00251700783550918
"ENSPFOG00000018708",184.365734212035,-1.54148552153194,0.411804509048945,-3.74324585491298,0.000181658329065437,0.0125854979737508
"ENSPFOG00000016046",5591.5110331046,-0.868843660181839,0.223833440219229,-3.88165262228408,0.000103749007226388,0.00973938191213947
"ENSPFOG00000016359",5057.05430978604,0.485963649349427,0.103461676412972,4.69704016209519,2.63958565028214e-06,0.00124433510492105
"ENSPFOG00000017409",6067.5254746671,-0.254998013800296,0.0655180510408962,-3.89202684983909,9.94102401139743e-05,0.00945543543620835
"ENSPFOG00000017540",395.298385352662,-1.37177488994106,0.414755707347415,-3.30742860348877,0.000941567097962682,0.0299477510213885
"ENSPFOG00000017845",778.780609235462,-2.05444242839911,0.631792701722954,-3.2517666361078,0.00114690145119919,0.0328726775530945
"ENSPFOG00000017992",712.18465254069,0.436797717261872,0.0960937194702481,4.54553866444009,5.47949369272228e-06,0.00212183608440505
"ENSPFOG00000018381",16853.0402577054,-0.583102636303003,0.182928002347156,-3.18760730353576,0.00143455218964257,0.0365681107963917
"ENSPFOG00000018613",1239.08426575644,0.233023217244753,0.0750923408851769,3.10315558814536,0.00191468950478821,0.0430986684450371
"ENSPFOG00000022566",256.319566692981,-3.95748905240868,0.884251980261505,-4.47552184303654,7.62249050663954e-06,0.00255739494802087
"ENSPFOG00000018794",8629.21586381908,-0.438635307200518,0.142834015247069,-3.07094431562246,0.00213382942016096,0.0459352105697451
"ENSPFOG00000019198",2180.26530126305,0.461862873680182,0.0852609126583523,5.41705289422488,6.0589420577408e-08,0.000123246128457384
"ENSPFOG00000018370",5011.4267668353,-0.424756834297826,0.134490730569633,-3.15826103775907,0.00158713369977657,0.0390432424393162
"ENSPFOG00000019008",778.729523274953,-0.588404157994577,0.176799732682824,-3.32808284868941,0.000874458568841561,0.0286051961255823
"ENSPFOG00000022631",306.229451257021,-0.410194075052249,0.129143682088261,-3.17626126512259,0.00149186525524816,0.0375302761717591
"ENSPFOG00000019338",341.112765194775,-0.537853263195327,0.136583229275879,-3.9379158484307,8.21924075696916e-05,0.00878001161649637
"ENSPFOG00000019365",287.796350129646,-3.25877531807244,0.926787483986225,-3.516205575043,0.000437761887387387,0.0196394212649917
"ENSPFOG00000019408",3464.1060638787,-0.357731794462474,0.103567829344059,-3.45408218679631,0.000552169073807452,0.0227160449021471
"ENSPFOG00000019513",1687.79006845542,0.379276281181442,0.0851905057408567,4.45209566351411,8.50362634161988e-06,0.00267248024953662
"ENSPFOG00000019544",2090.9972089157,0.636970577879395,0.158274756049188,4.02446096761911,5.71059641784219e-05,0.00740075326280006
"ENSPFOG00000019553",190814.516644174,0.657432297057425,0.210972529373545,3.11619858286565,0.00183198858036812,0.0421861951150453
"ENSPFOG00000019556",9971.25688089666,-0.368055221688753,0.11290095942241,-3.25998311769614,0.00111418845578765,0.0324176299845904
"ENSPFOG00000004232",1992.54643159331,-0.849435714770589,0.228889798297277,-3.71111216441093,0.000206350638510159,0.0133757139722578
"ENSPFOG00000006672",72.0608630484835,0.913968076689789,0.270961001295118,3.37306133473554,0.000743373915251719,0.0262970038372488
"ENSPFOG00000008946",2210.17960109118,0.45601208668908,0.0936398076834308,4.86985287529344,1.11681371767582e-06,0.000864013517411079
"ENSPFOG00000009773",98.0027939530163,-0.794760075986649,0.254589317923203,-3.12173378863597,0.00179789432941986,0.0419747786962152
"ENSPFOG00000010186",14210.0101884549,-0.655516625216783,0.198501570740449,-3.30232462529934,0.000958870277119221,0.0302225319176313
"ENSPFOG00000015304",2876.13125595729,0.206709596683799,0.0675104139859701,3.06189200271764,0.00219942791477679,0.0467136746663908
"ENSPFOG00000015401",2184.68275410634,0.181315375669982,0.0556840243428346,3.25614712316162,0.00112935215541545,0.0326533353202453
"ENSPFOG00000003718",666.604439262375,-0.558930869914439,0.168988835898208,-3.3075017467492,0.000941321248114591,0.0299477510213885
"ENSPFOG00000006221",351.635745168417,-0.85969367743755,0.252228488826457,-3.4083924517704,0.000653468385629917,0.0244797820491323
"ENSPFOG00000015761",2082.58772498198,-0.402720942485058,0.118026127339648,-3.4121338347918,0.000644564586022032,0.0244178678848639
"ENSPFOG00000016177",4050.10547827157,-0.261160286867233,0.0837934743468491,-3.11671390765113,0.00182878952255595,0.0421861951150453
"ENSPFOG00000014064",1686.81742595022,-1.34103500460393,0.293013296597793,-4.57670358367631,4.72360011239687e-06,0.00189687534143197
"ENSPFOG00000014413",4591.98549841871,0.293791335755484,0.0859467317027948,3.41829561095376,0.00063014625956171,0.0241759052340057
"ENSPFOG00000013356",8132.80053349341,-1.59176801363055,0.52615677250284,-3.02527325849817,0.00248408583419878,0.0499460776686343
"ENSPFOG00000014277",1172.14465967416,0.67301901053365,0.216416903705921,3.10982644612726,0.00187197300616202,0.0426404775615793
"ENSPFOG00000014306",6536.32479598152,-0.465874384311538,0.145536180370192,-3.20108981235126,0.00136908850978886,0.0358992555438589
"ENSPFOG00000015193",622.14989526723,-0.855560579485767,0.283026291492681,-3.02290142365764,0.0025036378337932,0.0499460776686343
"ENSPFOG00000016058",3199.28790967801,-0.616273801885877,0.160121281335335,-3.84879384393159,0.000118700849921981,0.0105492947973695
"ENSPFOG00000017075",1651.92631504593,0.321542578914921,0.0999777424756897,3.21614162265273,0.00129926697190196,0.0349708744923686
"ENSPFOG00000017251",466.493265666089,0.435737116912394,0.0971931109840482,4.48320989523537,7.35285412329443e-06,0.00253089907402603
"ENSPFOG00000017411",300.443854770595,0.741230826894566,0.212600249082132,3.48650027502184,0.000489384880567405,0.0211400620221199
"ENSPFOG00000017878",6446.90438525074,-0.387341399039889,0.123061346370927,-3.14754722309293,0.00164646508682149,0.039705984691201
"ENSPFOG00000008614",2248.94362260295,0.22942135534529,0.0608189024846682,3.77220479115229,0.000161811358869814,0.0119345869766647
"ENSPFOG00000009394",17497.6502937635,-0.573506496778572,0.160316339922385,-3.57734275281127,0.000347104901304342,0.017396162612751
"ENSPFOG00000014198",4170.40267397779,-0.422482306953171,0.129670065794744,-3.25813289569793,0.00112147873163276,0.03251238809553
"ENSPFOG00000004392",203.436133763784,-3.38418165991915,0.920970006752227,-3.67458400936786,0.000238237249121146,0.014471077723227
"ENSPFOG00000009798",14454.1645199332,-0.781505102833754,0.21364547242645,-3.65795302824775,0.000254237624222114,0.0148862027755172
"ENSPFOG00000012315",1143.55383763941,-0.939386997931926,0.211993341947042,-4.43120991114236,9.37058132457071e-06,0.0027459602165313
"ENSPFOG00000014600",2674.05768682075,-0.427153986601316,0.102818210924369,-4.15445846373968,3.26058837924636e-05,0.00531623000029754
"ENSPFOG00000014813",2343.29166970146,0.240915155474755,0.0736086976921478,3.27291696536094,0.00106443742849144,0.031797359526844
"ENSPFOG00000000438",391.456216943373,-0.398734842178112,0.129470121725776,-3.07974408970319,0.00207178526689282,0.045249862159933
"ENSPFOG00000024742",98.8208300881129,-1.28776414276803,0.31743840110081,-4.05673711278261,4.97630397937574e-05,0.00700721764888071
"ENSPFOG00000006884",174.155057475872,0.87301048461039,0.206890238880396,4.21967942680505,2.44649947608108e-05,0.00453814464669909
"ENSPFOG00000009758",4381.68222801226,-0.416209570997697,0.101152804658679,-4.11466169823089,3.87747670117745e-05,0.00596333916773283
"ENSPFOG00000011423",1133.5971382136,-0.53800018790793,0.157729228045697,-3.41090991551713,0.000647464792888942,0.0244178678848639
"ENSPFOG00000013753",4934.7099024316,0.203398114316033,0.0580465586552596,3.5040512138544,0.000458237222321145,0.0201025207800857
"ENSPFOG00000014422",438.051887924306,-2.45099787102524,0.664210411599045,-3.69009251921333,0.000224172506593355,0.0140903791463099
"ENSPFOG00000014483",628.670232489211,0.485442188029559,0.137470101945189,3.5312564780312,0.000413590502358683,0.0192049465602742
"ENSPFOG00000001909",3683.30691744695,-0.476717533137914,0.124966615260745,-3.81475910300711,0.000136315844631725,0.0112395782921634
"ENSPFOG00000009201",1620.2268449709,-1.74498936789945,0.575713536200075,-3.03100284807795,0.0024374294874799,0.049397529057407
"ENSPFOG00000010459",8882.41555792172,0.2007420744069,0.0580252521692377,3.45956401570494,0.000541050650972347,0.0226634621006369
"ENSPFOG00000011201",144.385278023509,-0.584476297136607,0.183700441154153,-3.18168151074903,0.00146422739272074,0.0370931904335856
"ENSPFOG00000012620",37035.0694047471,-0.241191963269882,0.0611873984233299,-3.94185681177644,8.08532424500018e-05,0.00867971565608064
"ENSPFOG00000012965",2568.00260855541,-0.357741368647864,0.110145438659197,-3.24789998571579,0.00116260128629429,0.0330374060423124
"ENSPFOG00000022401",2358.53573317223,-1.22048333488884,0.236139480083208,-5.16848489061966,2.35999363517169e-07,0.000284313677659434
"ENSPFOG00000012966",5942.78207015279,-0.90372197105022,0.204859088773139,-4.41143215301031,1.02689132512557e-05,0.00290724217057102
"ENSPFOG00000018358",773.674310198665,-1.17721190772865,0.370509059166503,-3.17728238650064,0.00148662208608127,0.0374418117731387
"ENSPFOG00000018366",1263.66428464889,-0.978596086019317,0.265159151056687,-3.69059895583279,0.000223726632142758,0.0140903791463099
"ENSPFOG00000022370",865.608877126956,-0.902946347327227,0.272090953346538,-3.3185460090517,0.000904874141924462,0.0291992429826325
"ENSPFOG00000018891",1350.81869503431,-1.21546003107445,0.287927061581916,-4.22141643927639,2.42771951379625e-05,0.00453814464669909
