"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000016580",152.580792240291,-2.26427829438743,0.668713972207537,-3.3860191180284,0.000709144430658351,0.0287799175738385
"ENSPFOG00000017405",5537.79830350457,-0.735544314624835,0.224116403795639,-3.2819744658028,0.00103082939236594,0.0357290503120496
"ENSPFOG00000018590",396.251477948257,-0.69540008544432,0.208922092584624,-3.32851388209531,0.000873106535935911,0.0323304339912619
"ENSPFOG00000019109",120293.905025423,0.596974128680673,0.104619114330582,5.70616691319254,1.15548692814531e-08,2.13155824962951e-05
"ENSPFOG00000020607",302.112366524755,-0.487305046535844,0.146611464784297,-3.32378540281823,0.000888045027736809,0.0325369733251323
"ENSPFOG00000017974",2230.81122551521,-0.640725658932441,0.126722321787794,-5.05613888613393,4.27829814184819e-07,0.000280049115788334
"ENSPFOG00000018748",55.4563366723317,-2.67089462768012,0.68025264902196,-3.92632741896739,8.6252727265056e-05,0.00794329228836841
"ENSPFOG00000018837",63429.5969181058,0.220505058032553,0.0680567709984292,3.24001645681431,0.00119522801170964,0.0386203293210382
"ENSPFOG00000019557",16676.5567409581,-0.682255540201185,0.207092639855333,-3.2944461023713,0.000986158546408518,0.0349234366906137
"ENSPFOG00000008011",7632.5985602851,0.193332805508274,0.0502442422137318,3.84785991369647,0.000119154150886552,0.0101166361079076
"ENSPFOG00000009924",783.986702842543,-0.405370133273999,0.119935431437824,-3.3799030729643,0.00072511396772649,0.0289645917974526
"ENSPFOG00000011374",2885.43104665015,0.283866031143427,0.0867840443441987,3.27094724944567,0.00107187902168237,0.0366171197104019
"ENSPFOG00000011883",1696.43828939582,-0.417930998921886,0.0984764255062096,-4.24397003418379,2.19599689469988e-05,0.00353563045756279
"ENSPFOG00000014796",1550.43712811089,0.479992297380459,0.113285429946005,4.23701704278507,2.26508949084941e-05,0.00353563045756279
"ENSPFOG00000014893",6644.95112702915,0.405388636668791,0.125217281929023,3.23748152350551,0.00120589748056691,0.0387798283291027
"ENSPFOG00000017471",374.817481603337,-0.976491286586892,0.309720677523499,-3.15281270335205,0.00161705523560966,0.0459380908953026
"ENSPFOG00000018133",357.260885372796,-0.907042799949828,0.218961610849279,-4.14247409137937,3.43579191944785e-05,0.00449800578254424
