"gene_names","gene_ids"
"dnmt3aa","ENSPFOG00000014869"
"dtnba","ENSPFOG00000014988"
"TLR5(2of2)","ENSPFOG00000020606"
"KIF3C(1of2)","ENSPFOG00000015190"
"rab10","ENSPFOG00000015245"
"lats1","ENSPFOG00000015291"
"nup43","ENSPFOG00000023118"
"pcmt","ENSPFOG00000015367"
"lrp11","ENSPFOG00000015406"
"map3k5","ENSPFOG00000015511"
"tfap2b","ENSPFOG00000015812"
"tfap2d","ENSPFOG00000015857"
"si:dkeyp-77c8.2","ENSPFOG00000015882"
"HADHB","ENSPFOG00000015886"
"gareml","ENSPFOG00000015932"
"syne2a(1of2)","ENSPFOG00000015957"
"syne2a(2of2)","ENSPFOG00000015966"
"esr2a","ENSPFOG00000016031"
"jag2b","ENSPFOG00000016087"
"nudt14","ENSPFOG00000016378"
"knstrn","ENSPFOG00000016353"
"casc5","ENSPFOG00000016360"
"adgrg11","ENSPFOG00000016388"
"mtif3","ENSPFOG00000016409"
"heca","ENSPFOG00000016417"
"abracl","ENSPFOG00000016428"
"reps1","ENSPFOG00000016435"
"clu","ENSPFOG00000016489"
"scara3","ENSPFOG00000016516"
"ak7a","ENSPFOG00000016584"
"ACTC1(4of4)","ENSPFOG00000016670"
"ensembl","ENSPFOG00000016684"
"scg5","ENSPFOG00000016687"
"fmn1","ENSPFOG00000016696"
"ryr3","ENSPFOG00000016822"
"aven","ENSPFOG00000017479"
"chrm5b","ENSPFOG00000020607"
"emc7","ENSPFOG00000017484"
"katnbl1","ENSPFOG00000017499"
"thbs1b","ENSPFOG00000017523"
"ensembl","ENSPFOG00000017656"
"gpr176","ENSPFOG00000017671"
"susd6","ENSPFOG00000017682"
"srsf5b","ENSPFOG00000017700"
"slc10a1","ENSPFOG00000017716"
"max","ENSPFOG00000017744"
"fntb","ENSPFOG00000017754"
"rab15","ENSPFOG00000017775"
"sipa1l1","ENSPFOG00000017793"
"rgs6(2of2)","ENSPFOG00000017826"
"lama2","ENSPFOG00000017974"
"si:dkey-126h10.1","ENSPFOG00000018241"
"ptprk(1of2)","ENSPFOG00000018278"
"ptprk(2of2)","ENSPFOG00000023934"
"dlgap2b","ENSPFOG00000018385"
"ensembl","ENSPFOG00000018393"
"C12orf57","ENSPFOG00000018395"
"SAYSD1","ENSPFOG00000018398"
"bpnt1","ENSPFOG00000018402"
"PLB1(2of2)","ENSPFOG00000018425"
"ensembl","ENSPFOG00000018471"
"slc35a1","ENSPFOG00000018474"
"rars2","ENSPFOG00000018503"
"akirin2","ENSPFOG00000018526"
"cnr1","ENSPFOG00000020608"
"rngtt","ENSPFOG00000018533"
"IL31RA","ENSPFOG00000018557"
"rdh14b","ENSPFOG00000018561"
"BEGAIN(2of2)","ENSPFOG00000018564"
"nt5c1bb","ENSPFOG00000018570"
"syt14b","ENSPFOG00000018578"
"extl3","ENSPFOG00000018581"
"C14orf169","ENSPFOG00000018608"
"NDUFB1","ENSPFOG00000018628"
"cpsf2","ENSPFOG00000018648"
"slc24a4b","ENSPFOG00000023465"
"tmem121a","ENSPFOG00000020609"
"FUT8","ENSPFOG00000018689"
"gphnb","ENSPFOG00000018715"
"ensembl","ENSPFOG00000018748"
"mpp5b","ENSPFOG00000018754"
"eif2s1a","ENSPFOG00000018787"
"atp6v1d","ENSPFOG00000018792"
"rbm25b","ENSPFOG00000018808"
"hsp90ab1","ENSPFOG00000018837"
"slc35b2","ENSPFOG00000021776"
"nfkbie","ENSPFOG00000018853"
"tmem151ba","ENSPFOG00000020610"
"tcte1","ENSPFOG00000018861"
"rnf8","ENSPFOG00000018868"
"aida","ENSPFOG00000018877"
"mia3","ENSPFOG00000018887"
"taf1a","ENSPFOG00000018902"
"dusp10","ENSPFOG00000018913"
"hlx1","ENSPFOG00000018919"
"slc35f6","ENSPFOG00000018934"
"kcnk3a","ENSPFOG00000018940"
"enpp1","ENSPFOG00000018956"
"sytl3","ENSPFOG00000019004"
"ezrb","ENSPFOG00000019019"
"rsph3","ENSPFOG00000021986"
"tagapb","ENSPFOG00000019037"
"ppp2r5a","ENSPFOG00000019051"
"dtl","ENSPFOG00000024786"
"ints7","ENSPFOG00000019082"
"lpgat1","ENSPFOG00000019088"
"nek2","ENSPFOG00000019095"
"slc30a1a","ENSPFOG00000019100"
"rd3","ENSPFOG00000019102"
"ensembl","ENSPFOG00000019104"
"rhag","ENSPFOG00000019114"
"ensembl","ENSPFOG00000024241"
"si:dkey-12h9.6","ENSPFOG00000019124"
