"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000016709",1812.45579270937,1.16659024809665,0.28300377506756,4.12217203752195,3.75316731361415e-05,0.0014041054912521
"ENSPFOG00000016886",10741.1741028474,0.434556759458228,0.122800394181883,3.53872446707779,0.000402065283493599,0.00843388993794696
"ENSPFOG00000017053",171.399160879858,0.985140104461756,0.321136152118029,3.06767113563621,0.0021573389229466,0.0304973315193239
"ENSPFOG00000017462",153.679987921469,5.72299202390337,0.931553281832385,6.14349402821718,8.07257085745602e-10,4.97146171421484e-07
"ENSPFOG00000017677",72.8151146154705,3.54968116444543,0.882979780582183,4.0201160236138,5.81694865237158e-05,0.00194584223861644
"ENSPFOG00000017825",206.573838951819,-0.702586536229849,0.229352765868765,-3.0633445102287,0.00218877918355043,0.0308329023052869
"ENSPFOG00000017898",1888.05619391413,2.78245996747816,0.714635163931285,3.8935391202576,9.87922620388534e-05,0.00291887794686003
"ENSPFOG00000018325",4834.06524058663,-0.269699807341806,0.0679034619011444,-3.97181233166642,7.13279032720273e-05,0.00226907759044709
"ENSPFOG00000018732",2220.59004866145,-0.958898605192621,0.234677049045652,-4.08603486830997,4.3880786576257e-05,0.00158010304645958
"ENSPFOG00000019156",236.307342929754,3.02831063579559,0.71555549935199,4.23211146939412,2.31507613513085e-05,0.000977214386881772
"ENSPFOG00000019375",124.507423195307,6.95567406490942,1.10386599186554,6.30119427191911,2.95360906308473e-10,2.72845317219881e-07
"ENSPFOG00000008483",7481.28187124391,0.521338502473354,0.167924102483648,3.10460794348519,0.00190531390743065,0.0278356626695069
"ENSPFOG00000012805",9722.52555071433,0.775294395377776,0.255186008918536,3.03815400641842,0.0023803227187741,0.0328954543130197
"ENSPFOG00000012998",1979.02042026848,0.566563279210541,0.184223668650707,3.07540981764271,0.00210213489546033,0.0298928809468124
"ENSPFOG00000016755",5889.46878945301,-0.345766396567213,0.114852661665,-3.01052140677191,0.00260799563655322,0.0352362136910995
"ENSPFOG00000017631",332.400172377602,2.31378944164597,0.48431395835563,4.7774576836519,1.77525393843423e-06,0.000148048781574005
"ENSPFOG00000017933",1297.25073454239,-0.577325357877636,0.180403529708731,-3.20018881454122,0.00137337584672618,0.0218883484317648
"ENSPFOG00000017950",224.582566158061,4.88234790572834,1.28552606814389,3.79793769003669,0.00014590498785597,0.00390674024339431
"ENSPFOG00000018360",6195.91363157563,-0.370798922329437,0.124910017419098,-2.96852830534266,0.00299229541505527,0.0391869963352222
"ENSPFOG00000018368",7258.14673085154,-0.359985006115814,0.124367723884246,-2.89452114160156,0.00379737336947527,0.0468680953689913
"ENSPFOG00000018477",887.487678160495,-0.416183960627003,0.123210955652069,-3.377816188702,0.000730639014892459,0.0134093133810566
"ENSPFOG00000018740",830.779713450421,0.682178030041484,0.155879214898678,4.37632451821688,1.20697276951585e-05,0.000605199832530931
"ENSPFOG00000018833",946.2356277398,1.28842696727152,0.325987961140637,3.95237591831088,7.73790550200678e-05,0.00241049305249285
"ENSPFOG00000018965",25.5633625810582,3.3151418455568,0.981489316042636,3.37766472988565,0.000731041521848927,0.0134093133810566
